pictures,username,Category,Level
images\sleeping face(4).jpg,kaya,Number of Features,1.0
images\realistic (7).jpg,kaya,Incorrect Proportion,2.0
images\realistic face (2).jpg,kaya,Unrealistic,4.0
images\face of a smiling man with long red hair(1).jpg,kaya,Number of Features,2.0
images\face of a girl with piercings2.jpg,kaya,No Errors,0.0
images\realistic face (43).jpg,kaya,Number of Features,1.0
images\nf_2.jpg,kaya,Unrealistic,4.0
images\child face(7).jpg,kaya,Unrealistic,3.0
images\face of a man (1).jpg,kaya,Incorrect Proportion,1.0
images\realistic face (7).jpg,kaya,Incorrect Proportion,2.0
images\face(2).jpg,kaya,Unrealistic,4.0
images\adolescent.jpg,kaya,Alignment Problem,2.0
images\sleeping face(5).jpg,kaya,Unrealistic,4.0
images\face of a smiling girl with red hair.jpg,kaya,Unrealistic,5.0
images\face of a boy with piercings(3).jpg,kaya,Alignment Problem,2.0
images\ugly male face(3).jpg,kaya,Unrealistic,2.0
images\female face(8).jpg,kaya,Unrealistic,3.0
images\realistic face (9).jpg,kaya,Incorrect Proportion,2.0
images\face of a sleeping boy(2).jpg,kaya,Number of Features,3.0
images\face of a smiling boy(2).jpg,kaya,Unrealistic,4.0
images\realistic (13).jpg,Marc,Unrealistic,1.0
images\female face(31).jpg,Marc,Unrealistic,1.0
images\realistic face (8).jpg,Marc,Unrealistic,1.0
images\face of a darkskinned woman.jpg,Marc,No Errors,0.0
images\nf_4.jpg,Marc,Unrealistic,5.0
images\female face(11).jpg,Marc,Wrong Aspect,2.0
images\realistic face (46).jpg,Marc,Unrealistic,5.0
images\female face(9).jpg,Marc,Unrealistic,3.0
images\boy face (1).jpg,Marc,Alignment Problem,2.0
images\child face.jpg,Marc,Number of Features,5.0
images\female face(30).jpg,Marc,Unrealistic,5.0
images\female face(21).jpg,Marc,Unrealistic,5.0
images\sleeping face(2).jpg,Marc,Number of Features,5.0
images\realistic face of a young girl (2).jpg,Marc,Unrealistic,4.0
images\ip_1.jpg,Marc,Incorrect Proportion,2.0
images\face of a smiling darkskinned woman(1).jpg,Marc,Unrealistic,3.0
images\correct_5.jpg,Marc,No Errors,0.0
images\correct_4.jpg,Marc,No Errors,0.0
images\realistic face (4).jpg,Marc,Wrong Aspect,2.0
images\face of a man with a face piercing.jpg,Marc,No Errors,0.0
images\old man face (2).jpg,luis,Incorrect Proportion,2.0
images\face of a boy with piercings(2).jpg,luis,Alignment Problem,3.0
images\face of a girl.jpg,luis,Unrealistic,2.0
images\old lady face (5).jpg,luis,Incorrect Proportion,2.0
images\nf_6.jpg,luis,Number of Features,3.0
images\face of a sleeping girl(1).jpg,luis,Unrealistic,4.0
images\realistic face (17).jpg,luis,Wrong Aspect,2.0
images\face of a sleeping boy(3).jpg,luis,Unrealistic,5.0
images\face(5).jpg,luis,Number of Features,3.0
images\unreal_1.jpg,luis,Unrealistic,5.0
images\child face (2).jpg,luis,Wrong Aspect,4.0
images\ugly male face.jpg,luis,Unrealistic,1.0
images\female face(13).jpg,luis,Unrealistic,3.0
images\ip_2.jpg,luis,No Errors,0.0
images\female face(18).jpg,luis,Unrealistic,3.0
images\old lady face (4).jpg,luis,Wrong Aspect,1.0
images\child face(2).jpg,luis,Unrealistic,4.0
images\face of a darkskinned man(1).jpg,luis,Unrealistic,3.0
images\face of a woman with black hair(2).jpg,luis,Wrong Aspect,3.0
images\female face(22).jpg,luis,Unrealistic,3.0
images\realistic face (13).jpg,kiki,Unrealistic,2.0
images\realistic face (41).jpg,kiki,Wrong Aspect,0.0
images\face of a boy with piercings.jpg,kiki,No Errors,0.0
